"ID";"Regions";"Periods";"AveragePurchasePrice_1"
"385";"PV27  ";"2020JJ00";"  424553"
"386";"PV27  ";"2021JJ00";"  490225"
"387";"PV27  ";"2022JJ00";"  536786"
"388";"PV27  ";"2023JJ00";"  507271"
"389";"PV27  ";"2024JJ00";"  544917"
"390";"PV28  ";"1995JJ00";"   90469"
"391";"PV28  ";"1996JJ00";"  100002"
"392";"PV28  ";"1997JJ00";"  109367"
"393";"PV28  ";"1998JJ00";"  117790"
"394";"PV28  ";"1999JJ00";"  135551"
"395";"PV28  ";"2000JJ00";"  159392"
"396";"PV28  ";"2001JJ00";"  175719"
"397";"PV28  ";"2002JJ00";"  187461"
"398";"PV28  ";"2003JJ00";"  194716"
"399";"PV28  ";"2004JJ00";"  201760"
"400";"PV28  ";"2005JJ00";"  213568"
"401";"PV28  ";"2006JJ00";"  225806"
"402";"PV28  ";"2007JJ00";"  235504"
"403";"PV28  ";"2008JJ00";"  242050"
"404";"PV28  ";"2009JJ00";"  227133"
"405";"PV28  ";"2010JJ00";"  230543"
"406";"PV28  ";"2011JJ00";"  232987"
"407";"PV28  ";"2012JJ00";"  219399"
"408";"PV28  ";"2013JJ00";"  211626"
"409";"PV28  ";"2014JJ00";"  217573"
"410";"PV28  ";"2015JJ00";"  221441"
"411";"PV28  ";"2016JJ00";"  232144"
"412";"PV28  ";"2017JJ00";"  254146"
"413";"PV28  ";"2018JJ00";"  280460"
"414";"PV28  ";"2019JJ00";"  305261"
"415";"PV28  ";"2020JJ00";"  333763"
"416";"PV28  ";"2021JJ00";"  384214"
"417";"PV28  ";"2022JJ00";"  425469"
"418";"PV28  ";"2023JJ00";"  410408"
"419";"PV28  ";"2024JJ00";"  442913"
"420";"PV29  ";"1995JJ00";"   75095"
"421";"PV29  ";"1996JJ00";"   80457"
"422";"PV29  ";"1997JJ00";"   86653"
"423";"PV29  ";"1998JJ00";"   92769"
"424";"PV29  ";"1999JJ00";"  103545"
"425";"PV29  ";"2000JJ00";"  118726"
"426";"PV29  ";"2001JJ00";"  135287"
"427";"PV29  ";"2002JJ00";"  151333"
"428";"PV29  ";"2003JJ00";"  167227"
"429";"PV29  ";"2004JJ00";"  176675"
"430";"PV29  ";"2005JJ00";"  189534"
"431";"PV29  ";"2006JJ00";"  199519"
"432";"PV29  ";"2007JJ00";"  203238"
"433";"PV29  ";"2008JJ00";"  206965"
"434";"PV29  ";"2009JJ00";"  196518"
"435";"PV29  ";"2010JJ00";"  197788"
"436";"PV29  ";"2011JJ00";"  197952"
"437";"PV29  ";"2012JJ00";"  188728"
"438";"PV29  ";"2013JJ00";"  183907"
"439";"PV29  ";"2014JJ00";"  186748"
"440";"PV29  ";"2015JJ00";"  193489"
"441";"PV29  ";"2016JJ00";"  202262"
"442";"PV29  ";"2017JJ00";"  213611"
"443";"PV29  ";"2018JJ00";"  220889"
"444";"PV29  ";"2019JJ00";"  242998"
"445";"PV29  ";"2020JJ00";"  259014"
"446";"PV29  ";"2021JJ00";"  294022"
"447";"PV29  ";"2022JJ00";"  326521"
"448";"PV29  ";"2023JJ00";"  328452"
"449";"PV29  ";"2024JJ00";"  345402"
"450";"PV30  ";"1995JJ00";"  100121"
"451";"PV30  ";"1996JJ00";"  111137"
"452";"PV30  ";"1997JJ00";"  123208"
"453";"PV30  ";"1998JJ00";"  135731"
"454";"PV30  ";"1999JJ00";"  156914"
"455";"PV30  ";"2000JJ00";"  185790"
"456";"PV30  ";"2001JJ00";"  208137"
"457";"PV30  ";"2002JJ00";"  222348"
"458";"PV30  ";"2003JJ00";"  228582"
"459";"PV30  ";"2004JJ00";"  234885"
"460";"PV30  ";"2005JJ00";"  244063"
"461";"PV30  ";"2006JJ00";"  258691"
"462";"PV30  ";"2007JJ00";"  271394"
"463";"PV30  ";"2008JJ00";"  277906"
"464";"PV30  ";"2009JJ00";"  258962"
"465";"PV30  ";"2010JJ00";"  254941"
